Catagory ,Tool ,Location ,Training Required?,Service/Cost ,Academic level ,Who can use this space?,Notes,Software,Website
Waterjet,ProtoMax,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109","Yes,
Pre-req: Wilson center basics 1 and 2 pass ",None,Any,Anyone but COE is prioritized ,"Materials: Acrylic, Polycarbonate, Aluminum, 
Carbon/Alloy/Stainless Steel, Brass, Glass, Wood and more

Tolerance:  ±0.009
Bed: 12""x12""
Max thickness: 1""","Free dowloadable:
https://www.omax.com/libraries/omax/download/",https://teamprojects.engin.umich.edu/home/training/#robotics
Fiber laser,Fablight 4500,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109","Yes,
Pre-req: Complete and pass Wilson Center 
basics 1 and either FRB or Wilson Center basics 2
",None,Any,Anyone but COE is prioritized ,"Materials: 6061 Aluminum, 7072 Aluminum, Brass, Copper


Tolerance:  ±0.005
Bed: 24""x48""
Max thickness: Aluminum .125"", Copper .040"", Brass .0625""

At this time, we no longer allow stainless steel to be cut on this machine",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Co2 laser,Universal systems PLS60.150D,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109","Yes,
Pre-req: Complete and pass Wilson Center 
basics 1 and either FRB or Wilson Center basics 2
",None,Any,Anyone but COE is prioritized ,"Materials: Acrylic, Glass (etch), Wood, Ceramic (etch), Acetate, 
Cardboard, Paper and more

Tolerance:  ±0.007
Bed: 18""x32""x6""
Max thickness: Varies by material 
Operating Modes: Optimized raster, vector or combined
Resolution: User controlled from 75 to 1200 dpi",None,https://teamprojects.engin.umich.edu/home/training/#robotics
3D printing,Ender 3 V2 FDM Printer,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109",No,"x4 open access printers OR 
Prints can be submitted through 
through the digital submission form 
found on website",Any,Anyone but COE is prioritized ,"Materials: PLA

Tolerance:  ±0.054mm
Bed: 220x220x250mm
Print speed: 180mm/s

Open access printers are first come first serve. Submitted prints
are run in order recieved. See submission form for more info.","Free downloadable:
https://ultimaker.com/software/ultimaker-cura/",https://teamprojects.engin.umich.edu/home/training/#robotics
3D printing,Formlabs Form 3 SLA Printer,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109",No,"Free of charge until 1000ml is used 
Per person/group/team/lab

Prints can be submitted through 
the digital submission form 
found on website",Any,Anyone but COE is prioritized ,"Materials: SLA resin (makerspace provides grey)

Tolerance:  ± 0.2%
Bed: 14.5cm×14.5cm×19.3cm
Print speed: Varies

Printers are not availible to the student body, parts must be 
submitted prints through the makerspace's digital submission system. 
Parts are run in order recieved. See submission form for more info.

Prints are always solid unless designed to be hollow","Free downloadable:
https://formlabs.com/software/preform/",https://teamprojects.engin.umich.edu/home/training/#robotics
3D printing,Formlabs FUSE 1 SLS Printer,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109",No,"

Free of charge until 1kg is used
Per person/group/team/lab

Prints can be submitted through 
the digital submission form 
found on website",Any,Anyone but COE is prioritized ,"Materials: SLS Nylon 12 

Tolerance:  ± 0.3%
Bed: 16.5cm×16.5cm×30.0cm
Print speed: Varies

Printers are not availible to the student body, parts must be 
submitted prints through the makerspace's digital submission system. 
Parts are run in order recieved. See submission form for more info.

Prints are always solid unless designed to be hollow","Free downloadable:
https://formlabs.com/software/preform/",https://teamprojects.engin.umich.edu/home/training/#robotics
Mills,Bridgeport 3 axis mill ,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109","Yes, 
Pre-req: Wilson center basics 1 and 2 pass

Wilson Center mill training required
Wilson center ""Operator"" status or mentor present 
required",None,Any ,Anyone but COE is prioritized ,"Working area: 12""x32""x10""

Spindle speed range low: 60 - 500 RPM
Spindle speed range high: 500 - 4200 RPM
X-Axis Table Travel: 36"" (914mm)
Y-Axis Table Travel: 12"" (306mm)
Knee Travel: 16"" (406mm)
Quill Travel: 5"" (127mm)
Throat Distance: Min. 6.75"" (171mm)/ Max. 18.75"" (476mm)

Tolerance:  ±0.005 (depending on skill level)",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Lathe,Harrison 600 group M300 lathe,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109","Yes, 
Pre-req: Wilson center basics 1 and 2 pass

Wilson Center lathe training required
Wilson center ""Operator"" status or mentor present 
required",None,Any ,Anyone but COE is prioritized ,"Working area: 12""x32""x10""

Min. Spd: 40rpm
Max Spd: 2500rpm

Tolerance:  ±0.005 (depending on skill level)",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Saws,Bosch chop saw,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109","Yes,
Pre-req: Wilson center basics 1 and 2 pass 

Must take Wilson center 3 saw training ",None,Any ,Anyone but COE is prioritized ,"Blade dia: 8-1/2 in
Bevel Angle Range: 2° Left to 47° Right
Max. Cut Depth: @ 0 Deg. Bevel 2""
Max. Cut Depth: @ 45 Deg. Bevel 2""
Miter Angle Range:52° Left to 60° Right
Max. Blade Speed: 5,600 RPM

Material application: Wood",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Saws,Dayton mini band saw,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109","Yes,
Pre-req: Wilson center basics 1 and 2 pass ",None,Any ,Anyone but COE is prioritized ,"Rectangular Cutting Capacity: Horizontal 4"" x 9.5""
Throat Depth: Vertical 9.5""
Miter Angle Range: 0°- 45°
Blade thickness: .025""

Material Application: Wood, plastic, 16g aluminum",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Specialty tools,Tekton torque wrench MN/24340,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48109","Yes,
Pre-req: Wilson center basics 1 and 2 pass ",None,Any ,Anyone but COE is prioritized ,"Drive size: .5""
Length: 25""
Range: 25-250ft.-lb (33.9-338.9Nm)
Increment: 1ft-lb (1.35Nm)

Accuracy: ±4%",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Specialty tools,Tekton torque wrench MN/24330,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48110","Yes,
Pre-req: Wilson center basics 1 and 2 pass ",None,Any ,Anyone but COE is prioritized ,"Drive size: .625""
Length: 15.5""
Range: 10-80ft.-lb (13.6-108.5Nm)
Increment: 1ft-lb (1.35Nm)

Accuracy: ±4%",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Specialty tools,Tekton torque wrench MN/24320,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48111","Yes,
Pre-req: Wilson center basics 1 and 2 pass ",None,Any ,Anyone but COE is prioritized ,"Drive size: .25""
Length: 12""
Range: 20-200ft.-lb (2.2-22.6Nm)
Increment: 1ft-lb (1.35Nm)

Accuracy: ±4%",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Specialty tools,CDI torque wrench MN/301LDIN,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48111","Yes,
Pre-req: Wilson center basics 1 and 2 pass ",None,Any ,Anyone but COE is prioritized ,"Drive size: .25""
Length: 12""
Range: 0-30ft.-lb (0-3.5Nm)
Increment: 1ft-lb (1.35Nm)

Accuracy: ±4%",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Saws,"Dake horizontal drop saw 
MN/JH10W1","Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48111","Yes,
Pre-req: Wilson center basics 1 and 2 pass ",None,Any ,Anyone but COE is prioritized ,"Material capacity: 10” rounds, 18” flats
Max Blade Speed: 270 fpm
Blade Width: 1”
Bed Work Area: 11” x 18”",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Welding,Miller Syncrowave 300,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48111","Yes,
Pre-req: Wilson center basics 1 and 2 pass 

Must take Wilson Center welding training ",None,Any ,Anyone but COE is prioritized ,"AC/DC Tig welder
DC Tig pulse

Welding amperage range: 5-300*

Some consumables and filler rod is provided
PPE Provided",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Welding,"Miller Spectrum 875 plasma cutter
and XT60 torch","Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48111","Yes,
Pre-req: Wilson center basics 1 and 2 pass 

Must take Wilson Center welding training
Must take a plasma cutter training with permanant 
staff at the Wilson center ",None,Any ,Anyone but COE is prioritized ,"Max cutting thickness: .865"" (mild steel), .625"" (stainless steel),
.625"" (aluminum)

PPE Provided",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Specialty tools,"Baileigh magnetic/pan break 
MN/BB-4816M","Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48111","Yes, Pre-req: Wilson center basics 1 and 2 pass",None,Any ,Anyone but COE is prioritized ,"Bend length: 48""
Max thickness: 16g (mild steel) 20g (stainless steel)
Bend angle: 0-180 degrees
Box depth: unlimited
Clamping force: 12,000lb",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Specialty tools,"Baileigh Multi-purpose shear
MN/MPS-5","Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48111","Yes, Pre-req: Wilson center basics 1 and 2 pass",None,Any ,Anyone but COE is prioritized ,"Shear capacity: .1875"" (4.76mm)
Blade length: 5.25""",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Drill press,Clausing drill press,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48111","Yes, Pre-req: Wilson center basics 1 and 2 pass",None,Any ,Anyone but COE is prioritized ,"Spindle speed: 150 to 2000 rpm
Spindle travel: 6.5″ (165mm)
Working area: 22″ x 19″
Table slots: two, 15.5″ (394mm) long, for .5″ (12.7mm) T-bolt",None,https://teamprojects.engin.umich.edu/home/training/#robotics
CNC,MonoFab SRM-20,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48111","Yes, Pre-req: Wilson center basics 1 and 2 pass",None,Any ,Anyone but COE is prioritized ,"Working area: 8""x6""x2.38"" (203.2mm x 152.4mm x 60.5mm)
Max material weight: 4.4lbs (2.2kg)
Spindle speed: 3000-7000rpm

Material Application: Chemical wood, ABS, Modeling wax, PCB board

At this time, there is not a training availible for this machine ",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Other,"BAILEIGH Downdraft table 
MN/ DDTM-5922","Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48111","Yes, Pre-req: Wilson center basics 1 and 2 pass",None,Any ,Anyone but COE is prioritized ,"For Use With: Metal Surfaces
Filter Rating: 250 microns
Vacuum Suction: 1,400 cfm
Application: Grinding, Sanding
Fireproof Filter:Yes
For Metal Surface:Yes",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Other,"Roland vinyl cutter
CAMM-1 GS-24","Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48111","Yes, Pre-req: Wilson center basics 1 and 2 pass",None,Any ,Anyone but COE is prioritized ,"Max media width: 2 to 27-1/2 in. (50 to 700 mm)
Max cutting area: Width: 22.9 in (584 mm), Length: 984.25 in (25000 mm)
Max cutting thickness: .04"" (1 mm)
Accuracy: ±0.2 %
Max cutting speed: 19.69 in/s (500 mm/s) ",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Electronics,"Weller soldering iron
MN/ WESD51","Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48111",None,None,Any ,Anyone but COE is prioritized ,Temp. range: 350°F to 850°F (176.6°C-454.4°C),None,https://teamprojects.engin.umich.edu/home/training/#robotics
Electronics,"Hakko soldering iron
MN/ FX-888D","Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48111",None,None,Any ,Anyone but COE is prioritized ,Temp. range: 122°F-896°F (50°C to 480°C),None,https://teamprojects.engin.umich.edu/home/training/#robotics
Saws,Black and Decker chop saw,"Ford Motor Robotics Building, 2505 Hayward St, Ann Arbor, MI 48111","Yes,
Pre-req: Wilson center basics 1 and 2 pass 

Must take Wilson center 3 saw training ",None,Any ,Anyone but COE is prioritized ,"14"" abrasive cutting wheel ",,
Mills,Bridgeport 3 axis mill ,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, 
Pre-req: Wilson center basics 1 and 2 pass

Wilson Center mill training required",None,Any ,Anyone but COE is prioritized ,"Working area: 12""x32""x10""

Spindle speed range low: 60 - 500 RPM
Spindle speed range high: 500 - 4200 RPM
X-Axis Table Travel: 36"" (914mm)
Y-Axis Table Travel: 12"" (306mm)
Knee Travel: 16"" (406mm)
Quill Travel: 5"" (127mm)
Throat Distance: Min. 6.75"" (171mm)/ Max. 18.75"" (476mm)

Tolerance:  ±0.005 (depending on skill level)",None,https://teamprojects.engin.umich.edu/home/training/#robotics
CNC,Bridgeport 3 axis mill ,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, 
Pre-req: Wilson center basics 1 and 2 pass

Wilson Center mill training required
Wilson Center CNC mill training required",None,Any ,Anyone but COE is prioritized ,"Working area: 12""x32""x10""

Spindle speed range low: 60 - 500 RPM
Spindle speed range high: 500 - 4200 RPM
X-Axis Table Travel: 36"" (914mm)
Y-Axis Table Travel: 12"" (306mm)
Knee Travel: 16"" (406mm)
Quill Travel: 5"" (127mm)
Throat Distance: Min. 6.75"" (171mm)/ Max. 18.75"" (476mm)

Tolerance:  ±0.005 (depending on skill level)",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Lathe,Harrison 600 group M300 lathe,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, 
Pre-req: Wilson center basics 1 and 2 pass

Wilson Center lathe training is required",None,Any ,Anyone but COE is prioritized ,"Working area: 12""x32""x10""

Min. Spd: 40rpm
Max Spd: 2500rpm

Tolerance:  ±0.005 (depending on skill level)",None,https://teamprojects.engin.umich.edu/home/training/#robotics
CNC,ShopBot CNC router,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, Pre-req: Wilson center basics 1 and 2 pass 

Wilson Center ShopBot training is required",None,Any ,Anyone but COE is prioritized ,"Working area: 4'x8'x8""

Min. spindle speed: 2000rpm
Max spindle speed: 18,000rpm
Max cut depth: 4.5""
Max too shaft dia.: .5""

Max cutting speed: 400in/min

For use with: Tooling board, foam, plastics, wood
Tolerance: ±0.005

This machine cannot be used to cut metal and FRP
Students provide cutting bits
Tooling is not provided",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Drill press,"Clausing 20"" drill press ","Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, Pre-req: Wilson center basics 1 and 2 pass",None,Any ,Anyone but COE is prioritized ,"Spindle speed: 200 to 2000 rpm
Spindle travel: 6.5″ (165mm)
Working area: 22″ x 19″
Table slots: two, 15.5″ (394mm) long, for .5″ (12.7mm) T-bolt",,
Drill press,"Clausing 15"" drill press ","Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, Pre-req: Wilson center basics 1 and 2 pass",None,Any ,Anyone but COE is prioritized ,"Spindle speed: 800rpm
Spindle travel: 6.5"" (165mm)
Working area: 22″ x 19″
Table slots: two, 15.5″ (394mm) long, for .5″ (12.7mm) T-bolt",,
Welding,Miller Dynasty 210 Tig welder,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, Pre-req: Wilson center basics 1 and 2 pass 

Wilson Center welding training is required",None,Any ,Anyone but COE is prioritized ,"AC/DC Tig welder
AC/DC Pulse
Amps: 10-210A
Gas: Argon 100% 
Filler rod size: 1/16"", 3/32"", & 1/8""
FIller rod materials: Steels, Stainless, and Aluminum. 
Some consumables and filler rod is provided
PPE Provided",,
Welding,MillerMatic 225 Mig welder,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, Pre-req: Wilson center basics 1 and 2 pass 

Wilson Center welding training is required
Wilson Center mig welder training required",None,Any ,Anyone but COE is prioritized ,"DC Mig welder
Volts: 12-32v
Wire feed speed: 50-800IMP
Gas: Argon 75% C02 25%
Filler wire size: .035""
Filler rod materials: Steels 
Some consumables and filler rod is provided
PPE Provided",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Welding,Miller Dynasty 350 Tig welder,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, Pre-req: Wilson center basics 1 and 2 pass 

Wilson Center welding training is required",None,Any ,Anyone but COE is prioritized ,"AC/DC Tig welder
Amps: 10-300A
Gas: Argon 100% 
Filler rod size: 1/16"", 3/32"", & 1/8""
FIller rod materials: Steels, Stainless, and Aluminum. 
Some consumables and filler rod is provided
PPE Provided",,
CNC,HAAS Super VF-2,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, Pre-req: Wilson center basics 1 and 2 pass 

Wilson Center manual mill training required, operator staus required
Wilson Center CNC mill training required, operator status required ",,,Anyone but COE is prioritized ,"Mentor is required until operator status

Working area: 30""x 16""x 20""
Table size: 36""x14""

Max spindle speed: 12000rpm
Max cutting feed rate: 833in/min

Number of tool pockets: 30
Number of axis: 3+1

Coolant capable
Probe capability 

For use with: Steel (stainless/mild/hardened etc..), Aluminum, Brass, 
Bronze, Titanium, other metals

Tolerance: ±0.002 (depending on skill level)

Students provide cutting bits
Tooling is not provided",,https://teamprojects.engin.umich.edu/home/training/#robotics
CNC,HAAS SL-20,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, Pre-req: Wilson center basics 1 and 2 pass 

Wilson Center manual lathe training required, operator staus required
Wilson Center CNC lathe training required, operator status required ",None,Any,Anyone but COE is prioritized ,"Mentor is required until operator status

Working area: 

Max spindle speed: 

Number of axis: 2

For use with: Steel (stainless/mild/hardened etc..), Aluminum, Brass, 
Bronze, Titanium, other metals

Bar feeder capable ()

Tolerance: ±0.002 (depending on skill level)",,
CNC,HAAS TL-1,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, Pre-req: Wilson center basics 1 and 2 pass 

Wilson Center manual lathe training required, operator staus required
Wilson Center CNC lathe training required",None,Any,Anyone but COE is prioritized ,"Mentor is required until operator status

Working area: 8in diameter x 30in long

Max spindle speed: 1800 RPM

Number of axis: 2

For use with: Steel (stainless/mild/hardened etc..), Aluminum, Brass, 
Bronze, Titanium, other metals

Tolerance: ±0.005 (depending on skill level)",,
Saws,Dake Drop saw,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, Pre-req: Wilson center basic 1 and 2 pass",None,Any,Anyone but COE is prioritized ,"Material capacity: 10” rounds, 18” flats
Max Blade Speed: 270 fpm
Blade Width: 1”
Bed Work Area: 11” x 18”",,
Electronics,Battery lab tools,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109",,,,Anyone but COE is prioritized ,,,
